source,family,types,count,correct,accuracy,delta_nll,delta_brier,delta_score_mae,delta_score_normalized_mae
generated,いずれかの条件,noul,50,50,1.0,0.00872686567938935,0.000968298438328355,,
generated,不在時の代理,choice,49,40,0.8163265306122449,-0.042638086672397435,-0.0032111026473686244,,
generated,不足の段階,score,49,44,0.8979591836734694,0.03643866038800114,0.011348822516115659,0.04351734986656064,0.013393146152850817
generated,予定時間の重なり,noul,49,46,0.9387755102040817,0.016840419857818673,-0.0010885801852735522,,
generated,事実と否定質問,noul,50,50,1.0,0.009163587463656564,0.001760301304057836,,
generated,二属性照合,choice,49,49,1.0,0.006354801200221191,0.0008281347166158264,,
generated,件数の段階境界,score,50,50,1.0,0.010802304500777259,0.00115248398300167,0.007706169917392949,0.00213655026517096
generated,例外による上限,score,49,42,0.8571428571428571,0.021857352346304426,0.01233683892834897,0.05588714054375757,0.012996084278688466
generated,例外の優先,noul,50,49,0.98,0.041992177961751045,0.015700766701149654,,
generated,全条件の充足,noul,50,50,1.0,0.002898512142044733,3.6045122014409736e-05,,
generated,出来事の前後関係,noul,49,48,0.9795918367346939,0.0043988187873504475,0.002108870554903955,,
generated,利用可能集合の差,choice,49,49,1.0,0.0059939912496518736,0.0004810588374425306,,
generated,参照先の担当,choice,50,49,0.98,0.015079412606431447,0.001864881125151558,,
generated,参照表の順序尺度,score,49,48,0.9795918367346939,-0.023485604080912284,-0.0006258701898368066,0.012141034694417244,0.0035674077643160418
generated,参照関係の真偽,noul,49,45,0.9183673469387755,0.030680756121873043,0.01020470959366232,,
generated,取消しを反映した件数,score,49,33,0.673469387755102,-0.03803148587522498,-0.007255163112208252,0.035931864909950484,0.009432332378854658
generated,否定条件で選択,choice,50,50,1.0,0.01647357516678389,0.004708842757045052,,
generated,問い合わせ経路,choice,50,50,1.0,0.0013095342350195587,1.1700827936679196e-05,,
generated,小数量の比較,choice,49,44,0.8979591836734694,0.04232307699606491,0.010541684747556596,,
generated,工程の依存順,choice,49,49,1.0,0.01807677491736777,0.0033735862831312064,,
generated,改訂と例外の優先,choice,49,49,1.0,0.018612783671662594,0.005145848517507304,,
generated,文章内の順序参照,choice,49,49,1.0,0.009969602794575566,0.0006742105432295056,,
generated,時刻順の評価更新,score,49,44,0.8979591836734694,-0.0223978475622727,-0.007450217563157391,0.06116010203542366,0.01372901602436788
generated,時間枠の包含,choice,49,45,0.9183673469387755,0.040501981007501686,0.012845687334411604,,
generated,更新後の状態,noul,49,45,0.9183673469387755,0.02331637838732753,0.008418768589268655,,
generated,最終更新,choice,50,46,0.92,-0.01931699980541407,0.0003061101586539494,,
generated,条件と優先例外,choice,50,50,1.0,0.005052259376013531,0.00017699820681568826,,
generated,条件付き不足書類,choice,49,44,0.8979591836734694,-0.023562016267250074,0.011273645370135033,,
generated,条件付き義務,noul,49,31,0.6326530612244898,-0.10697148931354872,-0.06597551207898206,,
generated,独立チェックの合計,score,50,48,0.96,0.027017365891172443,0.0030121614043531197,0.02746964444582161,0.009291171662065296
generated,目標からの差,score,49,40,0.8163265306122449,0.018367780585933968,-0.0021916140577682985,0.02771474466834334,0.007145178008764311
generated,範囲の開閉境界,noul,49,49,1.0,0.004885629132222362,0.00046725270992845373,,
generated,約束時刻からの遅れ,score,49,29,0.5918367346938775,-0.09145781368686667,-0.045154855974989805,0.009513279052996482,0.00288556986230383
generated,緊急条件の加点,score,50,48,0.96,0.04000159691669375,0.008351959244117212,0.034086044569983306,0.01214662260815778
generated,締切の境界,noul,50,50,1.0,0.007589365231225877,0.00037848732919620973,,
