subset,condition,score,threshold,accepted,errors,coverage,risk,requested_coverage
all,t1,max_probability,0.9998684069560912,240,1,0.1,0.004166666666666667,0.1
all,t1,max_probability,0.9996832859780549,480,1,0.2,0.0020833333333333333,0.2
all,t1,max_probability,0.999352892030235,720,2,0.3,0.002777777777777778,0.3
all,t1,max_probability,0.9987688675464624,960,2,0.4,0.0020833333333333333,0.4
all,t1,max_probability,0.997592620091424,1200,2,0.5,0.0016666666666666668,0.5
all,t1,max_probability,0.9948640484449971,1440,2,0.6,0.001388888888888889,0.6
all,t1,max_probability,0.9866322498999961,1680,7,0.7,0.004166666666666667,0.7
all,t1,max_probability,0.9520520826762382,1920,17,0.8,0.008854166666666666,0.8
all,t1,max_probability,0.7977135144255848,2160,57,0.9,0.02638888888888889,0.9
all,t1,max_probability,0.2541437353991412,2400,162,1.0,0.0675,1.0
all,t1,entropy_confidence,0.9986706774494445,240,0,0.1,0.0,0.1
all,t1,entropy_confidence,0.9971247079965194,480,1,0.2,0.0020833333333333333,0.2
all,t1,entropy_confidence,0.9947318403749682,720,2,0.3,0.002777777777777778,0.3
all,t1,entropy_confidence,0.9908361855088682,960,2,0.4,0.0020833333333333333,0.4
all,t1,entropy_confidence,0.9838149541707246,1200,2,0.5,0.0016666666666666668,0.5
all,t1,entropy_confidence,0.9675095816062664,1440,4,0.6,0.002777777777777778,0.6
all,t1,entropy_confidence,0.9320330143899649,1680,9,0.7,0.005357142857142857,0.7
all,t1,entropy_confidence,0.8184675917054264,1920,18,0.8,0.009375,0.8
all,t1,entropy_confidence,0.5449733975401471,2160,56,0.9,0.025925925925925925,0.9
all,t1,entropy_confidence,4.673212631811641e-05,2400,162,1.0,0.0675,1.0
all,fitted,max_probability,0.9985241590616146,240,1,0.1,0.004166666666666667,0.1
all,fitted,max_probability,0.9971938726351974,480,2,0.2,0.004166666666666667,0.2
all,fitted,max_probability,0.9952218575328308,720,2,0.3,0.002777777777777778,0.3
all,fitted,max_probability,0.9920387393522819,960,2,0.4,0.0020833333333333333,0.4
all,fitted,max_probability,0.9869822439662124,1200,2,0.5,0.0016666666666666668,0.5
all,fitted,max_probability,0.9778006425059919,1440,2,0.6,0.001388888888888889,0.6
all,fitted,max_probability,0.9522008366258242,1680,4,0.7,0.002380952380952381,0.7
all,fitted,max_probability,0.8892256252894508,1920,17,0.8,0.008854166666666666,0.8
all,fitted,max_probability,0.7119875585355485,2160,59,0.9,0.027314814814814816,0.9
all,fitted,max_probability,0.23382261326551368,2400,162,1.0,0.0675,1.0
all,fitted,entropy_confidence,0.9879478215281278,240,0,0.1,0.0,0.1
