subset,condition,score,threshold,accepted,errors,coverage,risk
all,t1,max_probability,0.0,2400,162,1.0,0.0675
all,t1,max_probability,0.5,2364,135,0.985,0.05710659898477157
all,t1,max_probability,0.6,2298,104,0.9575,0.04525674499564839
all,t1,max_probability,0.7,2241,80,0.93375,0.035698348951361
all,t1,max_probability,0.8,2156,56,0.8983333333333333,0.025974025974025976
all,t1,max_probability,0.9,2046,30,0.8525,0.01466275659824047
all,t1,max_probability,0.95,1925,17,0.8020833333333334,0.008831168831168832
all,t1,max_probability,0.99,1608,4,0.67,0.0024875621890547263
all,t1,entropy_confidence,0.0,2400,162,1.0,0.0675
all,t1,entropy_confidence,0.5,2192,63,0.9133333333333333,0.02874087591240876
all,t1,entropy_confidence,0.6,2113,47,0.8804166666666666,0.022243256034074774
all,t1,entropy_confidence,0.7,2036,29,0.8483333333333334,0.01424361493123772
all,t1,entropy_confidence,0.8,1945,20,0.8104166666666667,0.010282776349614395
all,t1,entropy_confidence,0.9,1778,13,0.7408333333333333,0.007311586051743532
all,t1,entropy_confidence,0.95,1587,7,0.66125,0.004410838059231254
all,t1,entropy_confidence,0.99,992,2,0.41333333333333333,0.0020161290322580645
all,fitted,max_probability,0.0,2400,162,1.0,0.0675
all,fitted,max_probability,0.5,2332,121,0.9716666666666667,0.05188679245283019
all,fitted,max_probability,0.6,2251,84,0.9379166666666666,0.037316748111950244
all,fitted,max_probability,0.7,2173,60,0.9054166666666666,0.02761159687068569
all,fitted,max_probability,0.8,2073,33,0.86375,0.015918958031837915
all,fitted,max_probability,0.9,1890,15,0.7875,0.007936507936507936
all,fitted,max_probability,0.95,1697,6,0.7070833333333333,0.0035356511490866236
all,fitted,max_probability,0.99,1060,2,0.44166666666666665,0.0018867924528301887
all,fitted,entropy_confidence,0.0,2400,162,1.0,0.0675
all,fitted,entropy_confidence,0.5,2076,41,0.865,0.0197495183044316
all,fitted,entropy_confidence,0.6,1985,27,0.8270833333333333,0.013602015113350126
