dataset,split,mode,condition,metric,value,valid,total,coverage
JCoLA,all,direct,hard_label,accuracy,0.86,200,200,1.0
JCoLA,all,direct,hard_label,balanced_accuracy,0.7802893309222423,200,200,1.0
JCoLA,all,direct,hard_label,macro_f1,0.7852431354502225,200,200,1.0
JCoLA,all,direct,hard_label,mcc,0.5708207662630247,200,200,1.0
JCoLA,all,direct,t1,nll_logsumexp,0.3490973387817035,200,200,1.0
JCoLA,all,direct,t1,brier_multiclass_sum,0.20852041017997322,200,200,1.0
JCoLA,all,direct,t1,brier_binary_true,0.10426020508998661,200,200,1.0
JCoLA,all,direct,t1,ece_10_equal_width,0.07253936930769343,200,200,1.0
JCoLA,all,direct,historical_temperature,nll_logsumexp,0.32781295539308775,200,200,1.0
JCoLA,all,direct,historical_temperature,brier_multiclass_sum,0.20419726200010527,200,200,1.0
JCoLA,all,direct,historical_temperature,brier_binary_true,0.10209863100005263,200,200,1.0
JCoLA,all,direct,historical_temperature,ece_10_equal_width,0.05178325564862586,200,200,1.0
JCoLA,all,one_token,hard_label,accuracy,0.86,200,200,1.0
JCoLA,all,one_token,hard_label,balanced_accuracy,0.7802893309222423,200,200,1.0
JCoLA,all,one_token,hard_label,macro_f1,0.7852431354502225,200,200,1.0
JCoLA,all,one_token,hard_label,mcc,0.5708207662630247,200,200,1.0
JCoLA,all,one_token,t1,nll_logsumexp,0.3490973387817035,200,200,1.0
JCoLA,all,one_token,t1,brier_multiclass_sum,0.20852041017997322,200,200,1.0
JCoLA,all,one_token,t1,brier_binary_true,0.10426020508998661,200,200,1.0
JCoLA,all,one_token,t1,ece_10_equal_width,0.07253936930769343,200,200,1.0
JCoLA,all,one_token,historical_temperature,nll_logsumexp,0.32781295539308775,200,200,1.0
JCoLA,all,one_token,historical_temperature,brier_multiclass_sum,0.20419726200010527,200,200,1.0
JCoLA,all,one_token,historical_temperature,brier_binary_true,0.10209863100005263,200,200,1.0
JCoLA,all,one_token,historical_temperature,ece_10_equal_width,0.05178325564862586,200,200,1.0
JCoLA,all,json,hard_label,accuracy,0.82,200,200,1.0
JCoLA,all,json,hard_label,balanced_accuracy,0.7811934900542495,200,200,1.0
JCoLA,all,json,hard_label,macro_f1,0.7532894736842105,200,200,1.0
JCoLA,all,json,hard_label,mcc,0.5159589361230313,200,200,1.0
JCoLA,in_domain_valid,direct,hard_label,accuracy,0.86,100,100,1.0
JCoLA,in_domain_valid,direct,hard_label,balanced_accuracy,0.6685606060606061,100,100,1.0
JCoLA,in_domain_valid,direct,hard_label,macro_f1,0.6685606060606061,100,100,1.0
JCoLA,in_domain_valid,direct,hard_label,mcc,0.3371212121212121,100,100,1.0
JCoLA,in_domain_valid,direct,t1,nll_logsumexp,0.4173999432025263,100,100,1.0
JCoLA,in_domain_valid,direct,t1,brier_multiclass_sum,0.23154799054198427,100,100,1.0
JCoLA,in_domain_valid,direct,t1,brier_binary_true,0.11577399527099214,100,100,1.0
JCoLA,in_domain_valid,direct,t1,ece_10_equal_width,0.08954255344457729,100,100,1.0
JCoLA,in_domain_valid,direct,historical_temperature,nll_logsumexp,0.37416038182842487,100,100,1.0
JCoLA,in_domain_valid,direct,historical_temperature,brier_multiclass_sum,0.2259384705652211,100,100,1.0
JCoLA,in_domain_valid,direct,historical_temperature,brier_binary_true,0.11296923528261055,100,100,1.0
JCoLA,in_domain_valid,direct,historical_temperature,ece_10_equal_width,0.06485354218650279,100,100,1.0
JCoLA,in_domain_valid,one_token,hard_label,accuracy,0.86,100,100,1.0
JCoLA,in_domain_valid,one_token,hard_label,balanced_accuracy,0.6685606060606061,100,100,1.0
JCoLA,in_domain_valid,one_token,hard_label,macro_f1,0.6685606060606061,100,100,1.0
JCoLA,in_domain_valid,one_token,hard_label,mcc,0.3371212121212121,100,100,1.0
JCoLA,in_domain_valid,one_token,t1,nll_logsumexp,0.4173999432025263,100,100,1.0
JCoLA,in_domain_valid,one_token,t1,brier_multiclass_sum,0.23154799054198427,100,100,1.0
JCoLA,in_domain_valid,one_token,t1,brier_binary_true,0.11577399527099214,100,100,1.0
JCoLA,in_domain_valid,one_token,t1,ece_10_equal_width,0.08954255344457729,100,100,1.0
JCoLA,in_domain_valid,one_token,historical_temperature,nll_logsumexp,0.37416038182842487,100,100,1.0
JCoLA,in_domain_valid,one_token,historical_temperature,brier_multiclass_sum,0.2259384705652211,100,100,1.0
JCoLA,in_domain_valid,one_token,historical_temperature,brier_binary_true,0.11296923528261055,100,100,1.0
JCoLA,in_domain_valid,one_token,historical_temperature,ece_10_equal_width,0.06485354218650279,100,100,1.0
JCoLA,in_domain_valid,json,hard_label,accuracy,0.79,100,100,1.0
JCoLA,in_domain_valid,json,hard_label,balanced_accuracy,0.6287878787878788,100,100,1.0
JCoLA,in_domain_valid,json,hard_label,macro_f1,0.5991601450658522,100,100,1.0
JCoLA,in_domain_valid,json,hard_label,mcc,0.21336227578496414,100,100,1.0
JCoLA,out_of_domain_valid,direct,hard_label,accuracy,0.86,100,100,1.0
JCoLA,out_of_domain_valid,direct,hard_label,balanced_accuracy,0.8238095238095238,100,100,1.0
