id,dataset,type,group,repetitions,direct_mean_http_ms,one_token_mean_http_ms,json_mean_http_ms,one_token_minus_direct_ms,json_minus_direct_ms,all_conditions_valid
jcola:in_domain_valid:1030,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,274.7781672514975,285.48754192888737,492.38745868206024,10.70937467738986,217.60929143056273,True
jcola:in_domain_valid:1032,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,291.88929218798876,285.8772915787995,489.2442496493459,-6.012000609189272,197.35495746135712,True
jcola:in_domain_valid:1070,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,309.3102499842644,296.7568337917328,566.2874588742852,-12.553416192531586,256.97720889002085,True
jcola:in_domain_valid:1175,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,327.94320909306407,333.0767909064889,476.0619169101119,5.133581813424826,148.11870781704783,True
jcola:in_domain_valid:1435,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,283.20212475955486,282.5573752634227,493.74774983152747,-0.6447494961321354,210.5456250719726,True
jcola:in_domain_valid:1460,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,287.26120898500085,280.3714578039944,502.6708338409662,-6.889751181006432,215.40962485596538,True
jcola:in_domain_valid:1578,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,256.9512496702373,268.84729182347655,487.5737917609513,11.89604215323925,230.62254209071398,True
jcola:in_domain_valid:1887,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,200.3873330540955,199.7251668944955,380.81729086115956,-0.6621661596000195,180.42995780706406,True
jcola:in_domain_valid:1931,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,281.5662920475006,307.8702921047807,547.8234998881817,26.304000057280064,266.2572078406811,True
jcola:in_domain_valid:1985,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,268.82770797237754,260.73612459003925,486.7888749577105,-8.091583382338285,217.96116698533297,True
jcola:in_domain_valid:20,JCoLA,noul,jcola-source:b88f0588ee915942ae5d6fc8fb598a628c713f7e919068f3a2942bffa988785b,1,274.20704206451774,278.7494999356568,494.47979172691703,4.5424578711390495,220.2727496623993,True
jcola:in_domain_valid:2025,JCoLA,noul,jcola-source:e45f968c75385ee71faa38d90da149ccba6521d731d8d9d40639604d159a8d9b,1,312.86841724067926,283.1857497803867,550.2167078666389,-29.682667460292578,237.34829062595963,True
jcola:in_domain_valid:2227,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,243.454999756068,244.99483406543732,450.5822090432048,1.5398343093693256,207.1272092871368,True
jcola:in_domain_valid:2253,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,321.9279581680894,303.98333398625255,542.9883748292923,-17.944624181836843,221.0604166612029,True
jcola:in_domain_valid:2273,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,252.6028328575194,280.4302079603076,377.97274999320507,27.82737510278821,125.36991713568568,True
jcola:in_domain_valid:2281,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,273.15766690298915,279.87308287993073,493.9824161119759,6.7154159769415855,220.82474920898676,True
jcola:in_domain_valid:2295,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,286.64108319208026,292.34612500295043,512.5687089748681,5.705041810870171,225.9276257827878,True
jcola:in_domain_valid:2353,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,309.7496656700969,295.27308279648423,538.6899998411536,-14.476582873612642,228.94033417105675,True
jcola:in_domain_valid:2356,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,270.2759578824043,282.5900409370661,506.30837492644787,12.31408305466175,236.03241704404354,True
jcola:in_domain_valid:2654,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,275.12095775455236,269.93791712448,406.9387917406857,-5.183040630072355,131.81783398613334,True
jcola:in_domain_valid:2658,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,295.3795832581818,301.85087490826845,525.2543748356402,6.471291650086641,229.87479157745838,True
jcola:in_domain_valid:2739,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,294.6100840345025,291.28495790064335,506.29987521097064,-3.3251261338591576,211.68979117646813,True
jcola:in_domain_valid:2827,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,281.7517500370741,272.0109997317195,504.7382917255163,-9.740750305354595,222.98654168844223,True
jcola:in_domain_valid:2902,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,288.075250107795,282.03954081982374,518.8601249828935,-6.035709287971258,230.78487487509847,True
jcola:in_domain_valid:2992,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,272.6882086135447,277.93524973094463,501.16958329454064,5.247041117399931,228.48137468099594,True
jcola:in_domain_valid:3022,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,279.6864155679941,299.3556670844555,521.5549166314304,19.669251516461372,241.86850106343627,True
jcola:in_domain_valid:3037,JCoLA,noul,jcola-source:ed3c8ed3e8d256ce28f826651c12e8326031caf535a4749944e675b6eb4063c5,1,287.92016580700874,287.4615420587361,502.9668752104044,-0.4586237482726574,215.04670940339565,True
