dataset,mode,requests,http_mean,http_p50,http_p95,http_min,http_max,mean_input_tokens,total_output_tokens,total_decode_calls,invalid_or_failed
local_v2,direct,750,284.1366341312726,277.30883308686316,394.28348173387343,172.9569169692695,723.4193342737854,323.7866666666667,0.0,750.0,0
local_v2,one_token,750,283.9293503332883,277.39604213275015,394.9122997466475,170.75387528166175,512.7369998954237,323.7866666666667,750.0,750.0,0
local_v2,json,750,447.9108682957788,437.02729092910886,594.2194841103627,287.1148753911257,696.9650844112039,332.12,4655.0,4655.0,0
JCoLA,direct,200,275.4258362320252,281.28912416286767,315.1143923634663,192.39004189148545,349.5950410142541,280.85,0.0,200.0,0
JCoLA,one_token,200,275.9312795987353,282.024291343987,313.8766806107014,192.55587505176663,340.5977077782154,280.85,200.0,200.0,0
JCoLA,json,200,479.31056457571685,496.0451244842261,552.6046856539323,300.60791689902544,604.8675421625376,294.85,1462.0,1462.0,0
JSTS,direct,200,388.3571893768385,392.9924163967371,443.9993708394467,267.89837470278144,503.0551250092685,466.5,0.0,200.0,0
JSTS,one_token,200,388.73974937712774,393.12991593033075,437.762977881357,269.7514998726547,508.6581250652671,466.5,200.0,200.0,0
JSTS,json,200,580.1917514484376,583.3901250734925,650.1467767870054,423.4879999421537,705.6356249377131,463.5,1400.0,1400.0,0
JCommonsenseQA,direct,200,263.77619767328724,268.15852033905685,305.61402947641903,173.84129110723734,378.06070828810334,261.72,0.0,200.0,0
JCommonsenseQA,one_token,200,263.92431538552046,268.39064550586045,302.19505417626345,175.0261248089373,371.9377499073744,261.72,200.0,200.0,0
JCommonsenseQA,json,200,424.3561799498275,414.7447915747762,509.46134349796915,296.81466706097126,629.0464173071086,275.72,1105.0,1105.0,0
