dataset,mode,phase,n,mean,p50,p95,min,max,sum
local_v2,direct,completion_check_ms,750,0.0,0.0,0.0,0.0,0.0,0.0
local_v2,direct,decode_ms,750,0.0,0.0,0.0,0.0,0.0,0.0
local_v2,direct,native_total_ms,750,283.71587466666665,276.91416649999996,393.84004359999994,172.664916,721.27475,212786.906
local_v2,direct,parse_ms,750,0.013798193333333333,0.013584,0.018610749999999995,0.007458,0.035083,10.348645
local_v2,direct,prefill_ms,750,280.27351460933335,274.271875,389.3169708,170.330208,525.704209,210205.135957
local_v2,direct,readout_ms,750,0.001230032,0.001208,0.002125,0.000375,0.004125,0.922524
local_v2,direct,render_ms,750,0.5561909973333333,0.5625,0.6972792,0.411625,1.109084,417.143248
local_v2,direct,response_prepare_ms,750,0.037690350666666664,0.0367915,0.04735014999999999,0.022958,0.17675,28.267763
local_v2,direct,response_serialization_ms,750,0.005025290666666667,0.004958,0.006917,0.002792,0.008833,3.768968
local_v2,direct,sampler_setup_ms,750,4.420266666666667e-05,4.2e-05,0.000125,0.0,0.000292,0.033152
local_v2,direct,sampling_ms,750,0.0,0.0,0.0,0.0,0.0,0.0
local_v2,direct,state_reset_ms,750,0.6503003346666667,0.5442914999999999,1.4755831499999996,0.442541,3.101833,487.725251
local_v2,direct,tokenize_validate_ms,750,2.1737493746666665,1.4429165,3.6665081499999994,0.611542,282.436166,1630.312031
local_v2,one_token,completion_check_ms,750,0.00046518,0.000458,0.000792,0.0,0.001167,0.348885
local_v2,one_token,decode_ms,750,0.0,0.0,0.0,0.0,0.0,0.0
local_v2,one_token,native_total_ms,750,283.5114219853333,276.9645835,394.44409375,170.448209,512.235542,212633.566489
local_v2,one_token,parse_ms,750,0.013875,0.0135625,0.01896089999999998,0.006917,0.036584,10.40625
local_v2,one_token,prefill_ms,750,280.18991979866666,273.85816650000004,389.06985259999993,168.514375,506.811459,210142.439849
local_v2,one_token,readout_ms,750,0.0012108733333333335,0.0011665,0.002125,0.000334,0.003167,0.908155
local_v2,one_token,render_ms,750,0.557094952,0.563646,0.70133765,0.408291,1.17325,417.821214
local_v2,one_token,response_prepare_ms,750,0.03541744266666667,0.035125,0.04751249999999999,0.020292,0.08125,26.563082
local_v2,one_token,response_serialization_ms,750,0.005041041333333334,0.004875,0.00675,0.002833,0.078542,3.780781
local_v2,one_token,sampler_setup_ms,750,0.0008494066666666667,0.000833,0.001208,0.000333,0.001625,0.637055
local_v2,one_token,sampling_ms,750,0.2750690653333333,0.27331300000000003,0.3387520499999999,0.228458,0.944792,206.301799
local_v2,one_token,state_reset_ms,750,0.6332871026666667,0.5471254999999999,1.3655040499999995,0.427708,1.694875,474.965327
local_v2,one_token,tokenize_validate_ms,750,1.7943247693333333,1.4323545000000002,3.5366789499999998,0.514125,5.011541,1345.743577
local_v2,json,completion_check_ms,750,0.036590936,0.0341675,0.052993049999999986,0.018082,0.07208500000000001,27.443202
local_v2,json,decode_ms,750,85.56616577066666,92.93479250000001,115.3416131,57.737708,132.457541,64174.624328
local_v2,json,native_total_ms,750,447.464284636,436.583125,593.7553185999999,286.734167,696.459375,335598.213477
local_v2,json,parse_ms,750,0.014149673333333333,0.013979499999999999,0.018921199999999996,0.007708,0.046875,10.612255
local_v2,json,prefill_ms,750,293.5835502773333,286.75381200000004,410.7987731,171.116292,515.065,220187.662708
