id,dataset,repetition,both_valid,same_prompt_sha256,same_input_token_sha256,same_candidate_ids,same_candidate_ids_sha256,same_input_token_count,max_logit_abs_difference,logits_within_1e_5,same_label,exact_maximum_tie,label_mismatch_with_tie,label_mismatch_without_tie,candidate_boundary_checked_both
jcola:in_domain_valid:1030,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1032,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1070,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1175,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1435,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1460,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1578,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1887,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1931,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:1985,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:20,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2025,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2227,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2253,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2273,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2281,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2295,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2353,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2356,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2654,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2658,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2739,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2827,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2902,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:2992,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3022,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3037,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:313,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3291,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3319,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3426,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3430,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
jcola:in_domain_valid:3690,JCoLA,0,True,True,True,True,True,True,0.0,True,True,False,False,False,True
